,squad,players_used,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
0,Arsenal,29,38,418,"3,420",73,55,4,6,68,3,1.92,1.45,3.37,1.82,3.26
1,Bournemouth,27,38,418,"3,420",53,33,7,10,54,5,1.39,0.87,2.26,1.21,2.08
2,Burnley,27,38,418,"3,420",39,24,6,6,66,3,1.03,0.63,1.66,0.87,1.50
3,Chelsea,24,38,418,"3,420",83,53,2,4,72,0,2.18,1.39,3.58,2.13,3.53
4,Crystal Palace,31,38,418,"3,420",48,32,4,7,77,0,1.26,0.84,2.11,1.16,2.00
5,Everton,27,38,418,"3,420",58,45,3,4,73,3,1.53,1.18,2.71,1.45,2.63
6,Hull City,28,38,418,"3,420",36,24,3,3,67,5,0.95,0.63,1.58,0.87,1.50
7,Leicester City,25,38,418,"3,420",46,32,4,6,72,1,1.21,0.84,2.05,1.11,1.95
8,Liverpool,23,38,418,"3,420",77,52,7,8,54,0,2.03,1.37,3.39,1.84,3.21
9,Manchester City,25,38,418,"3,420",75,54,7,9,71,4,1.97,1.42,3.39,1.79,3.21
10,Manchester Utd,31,38,418,"3,420",54,37,3,4,79,3,1.42,0.97,2.39,1.34,2.32
11,Middlesbrough,27,38,418,"3,420",26,22,2,2,78,2,0.68,0.58,1.26,0.63,1.21
12,Southampton,26,38,418,"3,420",39,27,3,6,60,3,1.03,0.71,1.74,0.95,1.66
13,Stoke City,26,38,418,"3,420",37,24,4,6,71,3,0.97,0.63,1.61,0.87,1.50
14,Sunderland,31,38,418,"3,420",28,11,5,5,81,7,0.74,0.29,1.03,0.61,0.89
15,Swansea City,27,38,418,"3,420",45,31,3,3,56,0,1.18,0.82,2.00,1.11,1.92
16,Tottenham,24,38,418,"3,420",84,59,7,9,62,0,2.21,1.55,3.76,2.03,3.58
17,Watford,33,38,418,"3,420",39,27,3,3,87,8,1.03,0.71,1.74,0.95,1.66
18,West Brom,23,38,418,"3,420",43,33,1,1,80,0,1.13,0.87,2.00,1.11,1.97
19,West Ham,29,38,418,"3,420",46,28,3,4,82,9,1.21,0.74,1.95,1.13,1.87
