,ranker,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
0,,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,36,36,"3,198",3,2,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.9,2.9,4.0,0.08,0.11,0.19,0.08,0.19,/en/players/5f09991f/matchlogs/2018-2019/Patrick-van-Aanholt-Match-Logs
1,,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,33,31,"2,480",21,8,2,2,4,0,0.76,0.29,1.05,0.69,0.98,20.3,18.8,5.2,0.74,0.19,0.93,0.68,0.87,/en/players/4d034881/matchlogs/2018-2019/Sergio-Aguero-Match-Logs
2,,Nathan Aké,nl NED,DF,Bournemouth,23,1995,38,38,"3,412",4,0,0,0,3,0,0.11,0.00,0.11,0.11,0.11,3.5,3.5,0.7,0.09,0.02,0.11,0.09,0.11,/en/players/eaeca114/matchlogs/2018-2019/Nathan-Ake-Match-Logs
3,,Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,27,18,"1,626",2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,1.0,1.0,2.9,0.05,0.16,0.21,0.05,0.21,/en/players/b827d5b3/matchlogs/2018-2019/Marc-Albrighton-Match-Logs
4,,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,34,33,"2,923",0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,0.04,0.02,0.05,0.04,0.05,/en/players/f7d50789/matchlogs/2018-2019/Toby-Alderweireld-Match-Logs
5,,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,27,"2,467",1,12,0,0,3,0,0.04,0.44,0.47,0.04,0.47,1.4,1.4,6.3,0.05,0.23,0.28,0.05,0.28,/en/players/cd1acf9d/matchlogs/2018-2019/Trent-Alexander-Arnold-Match-Logs
6,,Alisson,br BRA,GK,Liverpool,25,1992,38,38,"3,420",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/7a2e46a8/matchlogs/2018-2019/Alisson-Match-Logs
7,,Dele Alli,eng ENG,"MF,FW",Tottenham,22,1996,25,22,"1,832",5,3,0,0,4,0,0.25,0.15,0.39,0.25,0.39,5.1,5.1,2.5,0.25,0.12,0.38,0.25,0.38,/en/players/cea4ee8f/matchlogs/2018-2019/Dele-Alli-Match-Logs
8,,Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,24,1994,10,9,763,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.9,0.17,0.10,0.27,0.17,0.27,/en/players/862a1c15/matchlogs/2018-2019/Miguel-Almiron-Match-Logs
9,,Marcos Alonso,es ESP,DF,Chelsea,27,1990,31,31,"2,761",2,4,0,0,6,0,0.07,0.13,0.20,0.07,0.20,3.0,3.0,4.0,0.10,0.13,0.23,0.10,0.23,/en/players/f4290206/matchlogs/2018-2019/Marcos-Alonso-Match-Logs
10,,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,9,7,640,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.04,0.03,0.07,0.04,0.07,/en/players/1a4ef233/matchlogs/2018-2019/Daniel-Amartey-Match-Logs
11,,Luke Amos,eng ENG,MF,Tottenham,21,1997,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/77128f7e/matchlogs/2018-2019/Luke-Amos-Match-Logs
12,,Felipe Anderson,br BRA,"FW,MF",West Ham,25,1993,36,36,"3,053",9,4,0,0,3,0,0.27,0.12,0.38,0.27,0.38,5.0,5.0,6.7,0.15,0.20,0.35,0.15,0.35,/en/players/9f1893b9/matchlogs/2018-2019/Felipe-Anderson-Match-Logs
13,,Florin Andone,ro ROU,FW,Brighton,25,1993,23,8,873,3,0,0,0,5,0,0.31,0.00,0.31,0.31,0.31,2.3,2.3,0.2,0.23,0.02,0.25,0.23,0.25,/en/players/dc008610/matchlogs/2018-2019/Florin-Andone-Match-Logs
14,,Michail Antonio,eng ENG,"FW,MF",West Ham,28,1990,33,22,"2,099",6,4,0,0,3,0,0.26,0.17,0.43,0.26,0.43,7.1,7.1,3.3,0.31,0.14,0.45,0.31,0.45,/en/players/ac05f970/matchlogs/2018-2019/Michail-Antonio-Match-Logs
15,,Stuart Armstrong,sco SCO,"MF,FW",Southampton,26,1992,29,16,"1,432",3,2,0,0,2,0,0.19,0.13,0.31,0.19,0.31,2.2,2.2,1.3,0.14,0.08,0.22,0.14,0.22,/en/players/97333cf5/matchlogs/2018-2019/Stuart-Armstrong-Match-Logs
16,,Marko Arnautović,at AUT,FW,West Ham,29,1989,28,24,"2,001",10,4,1,1,3,0,0.45,0.18,0.63,0.40,0.58,9.6,8.8,3.7,0.43,0.16,0.60,0.40,0.56,/en/players/00459419/matchlogs/2018-2019/Marko-Arnautovic-Match-Logs
17,,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,"3,240",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,/en/players/28d596a0/matchlogs/2018-2019/Kepa-Arrizabalaga-Match-Logs
18,,Harry Arter,ie IRL,MF,Cardiff City,28,1989,25,24,"2,007",0,1,0,0,10,0,0.00,0.04,0.04,0.00,0.04,1.1,1.1,0.6,0.05,0.03,0.08,0.05,0.08,/en/players/2f4c5a52/matchlogs/2018-2019/Harry-Arter-Match-Logs
19,,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,26,1992,28,15,"1,487",1,0,0,0,2,0,0.06,0.00,0.06,0.06,0.06,2.0,2.0,1.3,0.12,0.08,0.20,0.12,0.20,/en/players/8816329f/matchlogs/2018-2019/Christian-Atsu-Match-Logs
20,,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,29,1989,36,30,"2,732",22,5,4,5,0,0,0.72,0.16,0.89,0.59,0.76,20.7,16.7,4.0,0.68,0.13,0.81,0.55,0.68,/en/players/d5dd5f1f/matchlogs/2018-2019/Pierre-Emerick-Aubameyang-Match-Logs
21,,Serge Aurier,ci CIV,"DF,MF",Tottenham,25,1992,8,6,563,0,2,0,0,1,0,0.00,0.32,0.32,0.00,0.32,0.1,0.1,0.5,0.01,0.08,0.09,0.01,0.09,/en/players/5c2b4f07/matchlogs/2018-2019/Serge-Aurier-Match-Logs
22,,Charlie Austin,eng ENG,FW,Southampton,29,1989,25,11,980,2,2,0,1,1,0,0.18,0.18,0.37,0.18,0.37,3.6,2.9,0.4,0.33,0.04,0.36,0.26,0.30,/en/players/8d228291/matchlogs/2018-2019/Charlie-Austin-Match-Logs
23,,Jordan Ayew,gh GHA,FW,Crystal Palace,26,1991,20,14,"1,186",1,2,0,0,3,0,0.08,0.15,0.23,0.08,0.23,2.4,2.4,1.0,0.18,0.08,0.26,0.18,0.26,/en/players/da052c14/matchlogs/2018-2019/Jordan-Ayew-Match-Logs
24,,Floyd Ayité,tg TOG,"FW,MF",Fulham,29,1988,16,3,468,1,0,0,0,0,0,0.19,0.00,0.19,0.19,0.19,0.3,0.3,0.3,0.06,0.06,0.12,0.06,0.12,/en/players/fd5888a0/matchlogs/2018-2019/Floyd-Ayite-Match-Logs
25,,César Azpilicueta,es ESP,DF,Chelsea,28,1989,38,38,"3,403",1,5,0,0,4,0,0.03,0.13,0.16,0.03,0.16,1.0,1.0,2.4,0.03,0.06,0.09,0.03,0.09,/en/players/53cad200/matchlogs/2018-2019/Cesar-Azpilicueta-Match-Logs
