,squad,players_used,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
0,Arsenal,28,38,418,"3,420",69,52,4,5,73,2,1.82,1.37,3.18,1.71,3.08,56.5,52.6,43.0,1.49,1.13,2.62,1.38,2.52
1,Bournemouth,28,38,418,"3,420",55,43,7,9,60,1,1.45,1.13,2.58,1.26,2.39,53.6,46.8,37.3,1.41,0.98,2.39,1.23,2.21
2,Brighton,21,38,418,"3,420",35,24,5,6,61,4,0.92,0.63,1.55,0.79,1.42,34.8,30.3,23.8,0.92,0.63,1.54,0.80,1.42
3,Burnley,23,38,418,"3,420",43,32,2,2,75,1,1.13,0.84,1.97,1.08,1.92,41.4,39.9,27.3,1.09,0.72,1.81,1.05,1.77
4,Cardiff City,25,38,418,"3,420",33,20,3,4,66,1,0.87,0.53,1.39,0.79,1.32,39.6,36.6,22.8,1.04,0.60,1.64,0.96,1.56
5,Chelsea,24,38,418,"3,420",61,52,5,5,49,0,1.61,1.37,2.97,1.47,2.84,57.9,54.1,45.0,1.52,1.19,2.71,1.42,2.61
6,Crystal Palace,26,38,418,"3,420",48,33,10,11,58,2,1.26,0.87,2.13,1.00,1.87,50.7,42.8,32.3,1.33,0.85,2.18,1.13,1.98
7,Everton,23,38,418,"3,420",53,34,2,5,56,4,1.39,0.89,2.29,1.34,2.24,47.4,43.5,30.3,1.25,0.80,2.05,1.14,1.94
8,Fulham,28,38,418,"3,420",33,24,2,3,70,2,0.87,0.63,1.50,0.82,1.45,39.5,37.2,28.6,1.04,0.75,1.79,0.98,1.73
9,Huddersfield,31,38,418,"3,420",20,13,1,1,56,4,0.53,0.34,0.87,0.50,0.84,30.0,29.3,20.5,0.79,0.54,1.33,0.77,1.31
10,Leicester City,25,38,418,"3,420",48,34,5,7,60,5,1.26,0.89,2.16,1.13,2.03,49.4,44.3,33.8,1.30,0.89,2.19,1.16,2.05
11,Liverpool,23,38,418,"3,420",86,55,7,7,39,2,2.26,1.45,3.71,2.08,3.53,72.9,67.6,47.9,1.92,1.26,3.18,1.78,3.04
12,Manchester City,21,38,418,"3,420",91,71,3,4,44,1,2.39,1.87,4.26,2.32,4.18,81.6,78.5,61.2,2.15,1.61,3.76,2.07,3.68
13,Manchester Utd,28,38,418,"3,420",65,40,9,12,75,4,1.71,1.05,2.76,1.47,2.53,59.6,50.4,38.4,1.57,1.01,2.58,1.33,2.34
14,Newcastle Utd,24,38,418,"3,420",41,33,1,3,57,2,1.08,0.87,1.95,1.05,1.92,38.8,36.5,25.7,1.02,0.68,1.70,0.96,1.64
15,Southampton,30,38,418,"3,420",44,27,4,5,73,3,1.16,0.71,1.87,1.05,1.76,45.3,41.5,26.4,1.19,0.70,1.89,1.09,1.79
16,Tottenham,28,38,418,"3,420",66,47,4,4,57,3,1.74,1.24,2.97,1.63,2.87,54.4,51.4,36.3,1.43,0.95,2.39,1.35,2.31
17,Watford,25,38,418,"3,420",51,39,1,1,79,4,1.34,1.03,2.37,1.32,2.34,47.7,47.0,33.1,1.26,0.87,2.13,1.24,2.11
18,West Ham,26,38,418,"3,420",51,33,5,5,59,1,1.34,0.87,2.21,1.21,2.08,48.4,44.7,32.5,1.27,0.86,2.13,1.18,2.03
19,Wolves,21,38,418,"3,420",46,35,4,4,73,1,1.21,0.92,2.13,1.11,2.03,49.4,46.4,33.9,1.30,0.89,2.19,1.22,2.11
