name,id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,strength
Arsenal,1,1150,1210,1140,1140,1120,1170,4
Bournemouth,2,990,990,960,1000,970,1020,2
Brighton,3,1020,980,1070,1070,1010,1000,2
Burnley,4,1080,1150,1100,1040,940,1080,4
Cardiff,5,1010,970,1060,1060,1000,990,1
Chelsea,6,1190,1200,1210,1210,1190,1220,4
Crystal Palace,7,1100,1090,1050,1150,1010,1010,3
Everton,8,1070,1210,1070,1180,1140,1150,3
Fulham,9,990,950,1040,1040,980,970,1
Huddersfield,10,960,920,1010,1010,950,940,1
Leicester,11,1180,1130,1120,1050,1180,1070,3
Liverpool,12,1310,1320,1280,1290,1280,1300,5
Man City,13,1300,1310,1230,1240,1290,1290,5
Man Utd,14,1190,1270,1230,1300,1150,1230,4
Newcastle,15,1060,1070,1000,1010,950,960,3
Southampton,16,1120,1010,1050,1020,1080,1050,3
Spurs,17,1150,1210,1070,1100,1170,1110,4
Watford,18,1000,1110,1090,1090,990,1120,3
West Ham,19,1010,1000,970,1000,1000,1120,2
Wolves,20,1200,1160,1150,1200,1170,1170,4
